Product_ID,Brand,Model,Country,Price_USD,Rating,Num_Reviews,RAM_GB,Storage_GB,Battery_mAh,Camera_MP,Screen_Size_inch,Weight_g,Processor_Score,Release_Year,5G_Support,Wireless_Charging,Fast_Charging,Water_Resistant,Engagement_Score
MOB_00102,Samsung,Samsung Pro14,South Korea,1236.28,4.63,4255,12,256,4500.0,108.0,6.7,168.0,9,2019,1,0,1,1,100.0
MOB_00433,Huawei,Huawei S2,China,885.24,3.55,403,8,256,4000.0,48.0,6.7,,8,2021,1,0,1,1,55.34
MOB_00310,OnePlus,OnePlus X5,China,537.78,3.99,4617,12,256,4000.0,108.0,6.7,211.0,7,2021,1,1,1,1,100.0
MOB_00110,Samsung,Samsung S12,South Korea,692.67,3.61,3064,6,512,4500.0,64.0,6.3,205.0,9,2024,1,1,1,0,85.2
MOB_01002,Asus,Asus Pro14,Taiwan,943.6,3.88,2399,8,512,5000.0,64.0,6.5,231.0,10,2020,1,1,1,0,80.65
MOB_00943,Asus,Asus Max19,Taiwan,962.16,4.19,3242,16,512,4500.0,48.0,6.8,210.0,8,2021,1,1,0,1,96.67
MOB_00232,Xiaomi,Xiaomi Ultra10,China,322.42,3.22,3268,6,128,4000.0,16.0,6.1,223.0,7,2020,0,0,0,0,82.05
MOB_00050,Apple,Apple Lite19,USA,1348.91,4.2,3459,12,256,4500.0,48.0,6.8,227.0,10,2025,1,1,1,1,96.42
MOB_00786,Nokia,Nokia A15,Finland,80.01,3.52,898,6,32,3000.0,12.0,5.5,210.0,2,2025,0,0,0,0,55.51
MOB_00747,Motorola,Motorola Neo8,USA,544.72,3.57,4997,12,256,5000.0,108.0,6.5,232.0,8,2022,0,0,1,1,100.0
MOB_00899,Sony,Sony M14,Japan,953.18,4.07,198,16,512,4000.0,64.0,6.5,240.0,9,2020,0,0,1,1,59.05
MOB_00568,Vivo,Vivo Ultra16,China,257.31,3.4,3588,6,64,3500.0,,6.3,153.0,6,2025,0,0,1,0,91.7
MOB_00156,Samsung,Samsung Max7,South Korea,1305.76,4.11,1862,12,512,5500.0,48.0,6.8,244.0,8,2019,1,1,1,1,85.76
MOB_00559,Vivo,Vivo Max14,China,278.99,4.46,66,8,128,3500.0,32.0,6.5,,7,2019,0,0,1,0,67.27
MOB_00886,Sony,Sony Plus16,Japan,615.27,3.82,2054,6,128,4000.0,108.0,6.3,169.0,8,2019,1,1,1,1,86.32
MOB_00079,Apple,Apple Ultra3,USA,,4.55,305,12,128,5000.0,64.0,6.5,157.0,9,2025,1,1,1,1,73.67
MOB_00271,OnePlus,OnePlus Lite18,China,822.16,4.13,3026,8,512,5000.0,108.0,6.7,241.0,9,2019,0,1,0,1,86.56
MOB_00209,Xiaomi,Xiaomi Neo1,China,781.71,4.42,102,6,512,5000.0,48.0,6.3,202.0,6,2020,1,1,1,0,67.9
MOB_00245,Xiaomi,Xiaomi Plus8,China,467.71,4.17,1389,6,64,,,6.3,183.0,4,2021,0,0,0,1,80.85
MOB_00923,Sony,Sony Neo17,Japan,598.63,3.86,2305,12,256,4500.0,48.0,6.5,236.0,8,2024,1,1,1,1,75.81
MOB_00129,Samsung,Samsung Lite1,South Korea,1389.68,4.71,4661,16,512,5000.0,200.0,6.8,188.0,9,2025,0,1,1,1,100.0
MOB_00885,Sony,Sony Max10,Japan,490.92,3.55,2885,6,64,3500.0,48.0,6.1,208.0,7,2020,1,0,1,0,84.86
MOB_01075,LG,LG S16,South Korea,,3.46,1172,4,64,4500.0,16.0,6.3,190.0,5,2025,1,0,1,1,55.4
MOB_00368,Google,Google Lite5,USA,533.91,4.21,1242,12,512,4000.0,,6.5,243.0,6,2025,1,1,1,1,77.93
MOB_00738,Motorola,Motorola Plus8,USA,113.91,2.89,1119,6,128,3000.0,32.0,5.5,208.0,4,2020,0,0,0,0,57.78
MOB_00807,Nokia,Nokia M12,Finland,203.88,3.55,3546,4,128,3500.0,32.0,6.3,220.0,3,2019,0,0,1,0,88.32
MOB_00175,Samsung,Samsung Plus15,South Korea,1381.97,3.91,917,16,1024,,108.0,6.7,151.0,8,2021,1,1,1,1,66.75
MOB_00410,Huawei,Huawei Max19,China,486.82,3.53,1135,4,64,3500.0,48.0,6.3,228.0,6,2021,1,0,0,0,69.63
MOB_00585,Vivo,Vivo Max12,China,402.67,3.74,1712,8,128,3500.0,32.0,6.1,207.0,5,2022,1,0,1,1,77.49
MOB_00554,Vivo,Vivo Pro9,China,360.97,3.75,4581,4,128,3500.0,48.0,6.3,202.0,4,2022,0,0,1,0,96.79
MOB_00674,Realme,Realme X7,China,320.08,2.48,2353,6,64,4000.0,32.0,6.1,248.0,4,2025,1,0,1,0,65.4
MOB_00381,Google,Google Lite11,USA,965.74,3.97,604,8,512,5000.0,108.0,6.7,247.0,9,2025,1,0,1,1,66.2
MOB_01177,HTC,HTC Lite17,Taiwan,576.26,4.07,4771,8,128,4000.0,,6.7,219.0,9,2021,1,1,0,0,100.0
MOB_00333,OnePlus,OnePlus Max12,China,854.46,3.51,2572,8,512,4000.0,32.0,6.5,196.0,9,2021,0,0,1,1,78.9
MOB_00412,Huawei,Huawei Pro6,China,1037.61,5.0,1420,12,512,4500.0,200.0,6.8,176.0,10,2024,1,0,1,1,87.39
MOB_00156,Samsung,Samsung Max7,South Korea,1305.76,4.11,1862,12,512,5500.0,48.0,6.8,244.0,8,2019,1,1,1,1,85.76
MOB_01121,HTC,HTC Lite2,Taiwan,235.84,3.24,2179,6,64,3500.0,8.0,6.0,170.0,2,2022,0,0,1,0,73.31
MOB_00045,Apple,Apple Lite8,USA,708.12,3.59,4598,6,128,4000.0,,6.5,247.0,7,2024,1,1,1,0,100.0
MOB_00610,Vivo,Vivo Neo16,China,551.89,3.47,2707,12,128,4500.0,32.0,6.7,230.0,9,2024,1,1,1,0,89.85
MOB_00812,Nokia,Nokia Ultra7,Finland,182.03,,3415,6,128,3000.0,8.0,6.0,240.0,5,2021,0,0,0,0,84.36
MOB_00778,Nokia,Nokia Lite10,Finland,173.06,3.11,3214,3,64,4000.0,12.0,6.3,204.0,5,2019,0,0,0,0,80.63
MOB_00621,Realme,Realme X8,China,476.25,3.35,2905,4,64,5000.0,48.0,6.5,215.0,7,2024,1,0,1,1,78.28
MOB_00515,Oppo,Oppo Max16,China,500.17,4.05,3539,6,256,4500.0,48.0,6.5,161.0,6,2023,1,1,1,1,91.03
MOB_00159,Samsung,Samsung Lite1,South Korea,,4.07,4046,6,512,5000.0,108.0,6.7,152.0,6,2023,1,0,1,0,99.96
MOB_00623,Realme,Realme Max14,China,154.32,2.94,4851,3,128,4500.0,32.0,6.3,160.0,3,2022,0,0,0,0,86.49
MOB_00077,Apple,Apple Neo8,USA,1169.11,3.93,1235,8,512,4500.0,48.0,6.7,166.0,10,2021,1,0,1,0,72.46
MOB_01109,HTC,HTC A19,Taiwan,430.15,3.33,4285,8,128,4500.0,48.0,6.1,224.0,4,2022,1,0,1,1,92.47
